barangay,psgc_code,centroid_lat,centroid_lon,lat_min,lat_max,lon_min,lon_max
Abella,PH051724001,13.624,123.179355,13.621451,13.627331,123.173852,123.184882
Bagumbayan Norte,PH051724002,13.635854,123.183974,13.632619,13.639805,123.179474,123.187313
Bagumbayan Sur,PH051724003,13.631484,123.184555,13.628073,13.635137,123.17795,123.190214
Balatas,PH051724004,13.6307,123.206188,13.625399,13.636801,123.194732,123.217621
Calauag,PH051724006,13.640428,123.189754,13.635109,13.646936,123.185136,123.193662
Cararayan,PH051724007,13.633624,123.242906,13.622142,13.646806,123.209526,123.27457
Carolina,PH051724008,13.654345,123.285862,13.635209,13.674295,123.259553,123.309119
Concepcion Grande,PH051724009,13.61943,123.221215,13.611058,13.629321,123.212368,123.229308
Concepcion Pequeña,PH051724010,13.618239,123.204702,13.607122,13.628476,123.194757,123.216555
Dayangdang,PH051724011,13.627918,123.193869,13.625272,13.630824,123.188897,123.197724
Del Rosario,PH051724012,13.618307,123.236575,13.611473,13.626257,123.227758,123.249141
Dinaga,PH051724013,13.622267,123.185297,13.619966,13.624366,123.183927,123.186914
Igualdad Interior,PH051724014,13.621303,123.182172,13.620205,13.622065,123.178266,123.184277
Lerma,PH051724017,13.621943,123.187419,13.620381,13.623029,123.185795,123.189795
Liboton,PH051724018,13.636344,123.192434,13.634091,13.639297,123.187966,123.196551
Mabolo,PH051724019,13.610411,123.181589,13.602722,13.616501,123.175725,123.187138
Pacol,PH051724020,13.650395,123.241111,13.636544,13.664368,123.216306,123.26725
Panicuason,PH051724023,13.659507,123.332582,13.644707,13.67436,123.302694,123.376474
Peñafrancia,PH051724024,13.631911,123.192387,13.627289,13.635953,123.187613,123.197205
Sabang,PH051724025,13.619035,123.179714,13.615918,13.621637,123.176961,123.183972
San Felipe,PH051724026,13.644889,123.207836,13.633382,13.657369,123.192368,123.222343
San Francisco (Pob.),PH051724027,13.625572,123.187232,13.623029,13.628014,123.185573,123.188897
San Isidro,PH051724028,13.6291,123.266241,13.617074,13.639341,123.248802,123.286433
Santa Cruz,PH051724029,13.627118,123.181504,13.624186,13.629459,123.173852,123.187641
Tabuco,PH051724030,13.616362,123.183966,13.61106,13.620923,123.180236,123.186048
Tinago,PH051724031,13.62438,123.191244,13.621975,13.627289,123.186914,123.195229
Triangulo,PH051724032,13.613398,123.19141,13.602722,13.622634,123.185708,123.197233
